dispute_id,txn_id,customer_id,merchant_id,dispute_reason,dispute_date,resolution_status,resolution_days,amount
DSP00060,TXN0001103,C00532,M0090,Unauthorized,2023-02-02,Resolved,,857.58
DSP00061,TXN0001115,C00715,M0042,Quality Issue,2023-02-03,Escalated,,1300.91
DSP00062,TXN0001125,C00608,M0077,Duplicate,2023-02-03,Escalated,7.0,1466.63
DSP00063,TXN0001147,C00103,M0112,Item Not Received,2023-02-04,Pending,32.0,1667.91
DSP00064,TXN0001148,C00042,M0033,Item Not Received,2023-02-04,Escalated,4.0,1947.9
DSP00065,TXN0001169,C00027,M0014,Item Not Received,2023-02-04,Pending,23.0,3104.15
DSP00066,TXN0001172,C00365,M0085,Quality Issue,2023-02-04,Escalated,41.0,1818.06
DSP00067,TXN0001187,C00315,M0001,Duplicate,2023-02-05,Escalated,14.0,263.91
DSP00068,TXN0001218,C00063,M0096,Quality Issue,2023-02-06,Resolved,9.0,665.09
DSP00069,TXN0001225,C00416,M0082,Duplicate,2023-02-06,Resolved,39.0,1009.48
DSP00070,TXN0001235,C00465,M0082,Item Not Received,2023-02-06,Resolved,,861.94
DSP00071,TXN0001265,C00763,M0072,Item Not Received,2023-02-07,Resolved,,4364.17
DSP00072,TXN0001283,C00650,M0032,Item Not Received,2023-02-08,Escalated,6.0,338.34
DSP00073,TXN0001288,C00703,M0073,Quality Issue,2023-02-08,Pending,20.0,33494.51
DSP00074,TXN0001312,C00001,M0083,Quality Issue,2023-02-09,Escalated,,6022.5
DSP00075,TXN0001328,C00328,M0096,Quality Issue,2023-02-09,Resolved,,328.37
DSP00076,TXN0001329,C00482,M0055,Item Not Received,2023-02-09,Pending,,5021.34
DSP00077,TXN0001426,C00228,M0041,Unauthorized,2023-02-12,Pending,24.0,20264.18
DSP00078,TXN0001437,C00247,M0075,Unauthorized,2023-02-13,Escalated,41.0,2529.15
DSP00079,TXN0001458,C00633,M0043,Item Not Received,2023-02-13,Escalated,29.0,38745.75
DSP00080,TXN0001494,C00194,M0018,Duplicate,2023-02-15,Pending,25.0,2007.74
DSP00081,TXN0001506,C00345,M0114,Duplicate,2023-02-15,Pending,,11395.73
DSP00082,TXN0001511,C00147,M0046,Duplicate,2023-02-15,Escalated,14.0,7778.24
DSP00083,TXN0001531,C00489,M0120,Quality Issue,2023-02-16,Escalated,,4349.77
DSP00084,TXN0001541,C00677,M0015,Duplicate,2023-02-16,Resolved,24.0,1978.29
DSP00085,TXN0001544,C00714,M0014,Quality Issue,2023-02-16,Resolved,43.0,3265.45
DSP00086,TXN0001556,C00490,M0094,Unauthorized,2023-02-17,Pending,44.0,19571.92
DSP00087,TXN0001561,C00035,M0054,Unauthorized,2023-02-17,Escalated,,13234.3
DSP00088,TXN0001586,C00686,M0072,Item Not Received,2023-02-17,Resolved,,1923.76
DSP00089,TXN0001595,C00743,M0048,Item Not Received,2023-02-18,Resolved,45.0,1396.37
DSP00090,TXN0001598,C00597,M0044,Quality Issue,2023-02-18,Escalated,43.0,76159.51
DSP00091,TXN0001616,C00599,M0087,Unauthorized,2023-02-18,Pending,,21749.5
DSP00092,TXN0001621,C00380,M0030,Item Not Received,2023-02-18,Pending,37.0,6411.68
DSP00093,TXN0001626,C00539,M0110,Quality Issue,2023-02-18,Pending,5.0,1443.67
DSP00094,TXN0001647,C00702,M0093,Quality Issue,2023-02-19,Escalated,,2039.41
DSP00095,TXN0001658,C00502,M0088,Unauthorized,2023-02-19,Pending,38.0,10602.26
DSP00096,TXN0001662,C00352,M0073,Item Not Received,2023-02-19,Pending,28.0,62489.79
DSP00097,TXN0001699,C00702,M0061,Item Not Received,2023-02-21,Resolved,30.0,1477.06
DSP00098,TXN0001706,C00332,M0094,Item Not Received,2023-02-21,Pending,4.0,33296.29
DSP00099,TXN0001708,C00500,M0071,Item Not Received,2023-02-21,Resolved,21.0,1521.88
DSP00100,TXN0001740,C00113,M0011,Quality Issue,2023-02-22,Pending,37.0,19970.36
DSP00101,TXN0001744,C00426,M0054,Unauthorized,2023-02-22,Escalated,,9466.59
DSP00102,TXN0001776,C00343,M0022,Item Not Received,2023-02-23,Pending,29.0,1142.54
DSP00103,TXN0001790,C00069,M0089,Unauthorized,2023-02-23,Resolved,,188424.9
DSP00104,TXN0001804,C00717,M0091,Quality Issue,2023-02-24,Resolved,,944.73
DSP00105,TXN0001809,C00312,M0042,Quality Issue,2023-02-24,Pending,,2218.11
DSP00106,TXN0001818,C00758,M0073,Item Not Received,2023-02-24,Resolved,,48819.72
DSP00107,TXN0001837,C00781,M0023,Unauthorized,2023-02-24,Pending,3.0,600.62
DSP00108,TXN0001841,C00081,M0058,Item Not Received,2023-02-25,Pending,,177.89
DSP00109,TXN0001868,C00478,M0056,Unauthorized,2023-02-26,Pending,6.0,9708.34
DSP00110,TXN0001882,C00198,M0052,Duplicate,2023-02-26,Resolved,1.0,510.0
DSP00111,TXN0001897,C00636,M0083,Quality Issue,2023-02-26,Pending,43.0,6289.61
DSP00112,TXN0001908,C00009,M0064,Item Not Received,2023-02-27,Escalated,30.0,1320.37
DSP00113,TXN0001929,C00212,M0049,Unauthorized,2023-02-27,Escalated,24.0,1411.02
DSP00114,TXN0001936,C00350,M0082,Item Not Received,2023-02-27,Pending,1.0,1421.76
DSP00115,TXN0001962,C00576,M0102,Duplicate,2023-02-28,Escalated,43.0,157778.89
DSP00116,TXN0001977,C00497,M0120,Item Not Received,2023-03-01,Resolved,,597.34
DSP00117,TXN0001982,C00401,M0089,Duplicate,2023-03-01,Pending,,14254.12
DSP00118,TXN0001991,C00312,M0014,Duplicate,2023-03-01,Pending,28.0,3641.64
DSP00119,TXN0002010,C00626,M0075,Duplicate,2023-03-02,Pending,,2867.0
DSP00120,TXN0002040,C00706,M0014,Duplicate,2023-03-03,Escalated,16.0,98898.75
DSP00121,TXN0002053,C00413,M0086,Quality Issue,2023-03-03,Resolved,16.0,465.47
DSP00122,TXN0002056,C00569,M0061,Quality Issue,2023-03-03,Pending,5.0,2303.21
DSP00123,TXN0002064,C00338,M0088,Quality Issue,2023-03-04,Escalated,,9618.65
DSP00124,TXN0002065,C00156,M0080,Duplicate,2023-03-04,Resolved,28.0,7725.83
DSP00125,TXN0002073,C00365,M0116,Unauthorized,2023-03-04,Resolved,,755.33
DSP00126,TXN0002111,C00397,M0085,Item Not Received,2023-03-05,Pending,39.0,3805.43
DSP00127,TXN0002132,C00763,M0038,Quality Issue,2023-03-06,Resolved,,19592.18
DSP00128,TXN0002133,C00263,M0006,Duplicate,2023-03-06,Resolved,25.0,4024.76
DSP00129,TXN0002185,C00158,M0077,Unauthorized,2023-03-07,Escalated,8.0,1828.35
DSP00130,TXN0002189,C00426,M0047,Quality Issue,2023-03-07,Resolved,41.0,950.48
DSP00131,TXN0002192,C00576,M0079,Item Not Received,2023-03-07,Resolved,8.0,83234.75
DSP00132,TXN0002194,C00336,M0051,Item Not Received,2023-03-07,Resolved,20.0,3264.52
DSP00133,TXN0002197,C00420,M0011,Duplicate,2023-03-07,Pending,43.0,8477.61
DSP00134,TXN0002207,C00685,M0103,Duplicate,2023-03-08,Escalated,,1808.87
DSP00135,TXN0002209,C00030,M0065,Quality Issue,2023-03-08,Pending,18.0,668.96
DSP00136,TXN0002217,C00069,M0057,Unauthorized,2023-03-08,Resolved,43.0,4646.75
DSP00137,TXN0002245,C00472,M0117,Quality Issue,2023-03-09,Pending,,2184.66
DSP00138,TXN0002257,C00294,M0055,Unauthorized,2023-03-09,Resolved,42.0,1430.05
DSP00139,TXN0002265,C00267,M0077,Quality Issue,2023-03-09,Pending,29.0,761.94
DSP00140,TXN0002280,C00278,M0105,Item Not Received,2023-03-10,Resolved,28.0,14297.26
DSP00141,TXN0002323,C00093,M0119,Duplicate,2023-03-11,Escalated,26.0,1027.11
DSP00142,TXN0002328,C00324,M0111,Item Not Received,2023-03-11,Pending,7.0,5519.43
DSP00143,TXN0002354,C00746,M0059,Item Not Received,2023-03-12,Pending,32.0,543.54
DSP00144,TXN0002378,C00537,M0045,Duplicate,2023-03-13,Pending,,4477.47
DSP00145,TXN0002399,C00597,M0068,Duplicate,2023-03-13,Resolved,7.0,87336.92
DSP00146,TXN0002409,C00592,M0058,Quality Issue,2023-03-13,Resolved,24.0,968.53
DSP00147,TXN0002414,C00290,M0036,Unauthorized,2023-03-13,Resolved,28.0,1486.89
DSP00148,TXN0002421,C00640,M0093,Unauthorized,2023-03-14,Pending,20.0,4163.49
DSP00149,TXN0002459,C00564,M0062,Item Not Received,2023-03-15,Resolved,17.0,11725.75
DSP00150,TXN0002479,C00583,M0017,Item Not Received,2023-03-15,Resolved,,3580.61
DSP00151,TXN0002489,C00395,M0085,Item Not Received,2023-03-15,Escalated,,3196.51
DSP00152,TXN0002501,C00082,M0005,Quality Issue,2023-03-16,Escalated,,10440.32
DSP00153,TXN0002541,C00640,M0103,Unauthorized,2023-03-17,Pending,,621.78
DSP00154,TXN0002591,C00455,M0110,Unauthorized,2023-03-18,Pending,15.0,3549.53
DSP00155,TXN0002592,C00737,M0071,Quality Issue,2023-03-18,Resolved,43.0,5704.31
DSP00156,TXN0002595,C00695,M0023,Quality Issue,2023-03-18,Escalated,1.0,2396.95
DSP00157,TXN0002601,C00738,M0085,Duplicate,2023-03-19,Escalated,38.0,3373.78
DSP00158,TXN0002639,C00010,M0011,Unauthorized,2023-03-20,Resolved,14.0,13408.02
DSP00159,TXN0002653,C00062,M0102,Duplicate,2023-03-20,Resolved,,8299.41
DSP00160,TXN0002665,C00764,M0056,Quality Issue,2023-03-21,Pending,3.0,8035.36
DSP00161,TXN0002705,C00757,M0035,Duplicate,2023-03-22,Pending,19.0,4945.03
DSP00162,TXN0002729,C00741,M0032,Unauthorized,2023-03-23,Resolved,,11558.58
DSP00163,TXN0002742,C00574,M0064,Item Not Received,2023-03-23,Pending,43.0,3446.49
DSP00164,TXN0002744,C00455,M0092,Quality Issue,2023-03-23,Resolved,26.0,1185.95
DSP00165,TXN0002748,C00424,M0033,Duplicate,2023-03-23,Pending,,1474.22
DSP00166,TXN0002808,C00155,M0038,Duplicate,2023-03-25,Resolved,2.0,9934.71
DSP00167,TXN0002809,C00442,M0014,Quality Issue,2023-03-25,Pending,21.0,3610.55
DSP00168,TXN0002810,C00487,M0014,Item Not Received,2023-03-25,Pending,27.0,3230.06
DSP00169,TXN0002832,C00143,M0108,Unauthorized,2023-03-26,Resolved,41.0,2971.02
DSP00170,TXN0002841,C00428,M0066,Quality Issue,2023-03-26,Escalated,17.0,1140.89
DSP00171,TXN0002845,C00550,M0034,Quality Issue,2023-03-26,Pending,25.0,9938.27
DSP00172,TXN0002856,C00697,M0080,Duplicate,2023-03-26,Resolved,,16600.66
DSP00173,TXN0002858,C00552,M0010,Duplicate,2023-03-26,Pending,38.0,718.58
DSP00174,TXN0002905,C00291,M0007,Quality Issue,2023-03-28,Resolved,14.0,1659.35
DSP00175,TXN0002914,C00246,M0031,Unauthorized,2023-03-28,Resolved,,917.62
DSP00176,TXN0002941,C00075,M0015,Duplicate,2023-03-29,Escalated,11.0,1601.89
DSP00177,TXN0002947,C00340,M0036,Duplicate,2023-03-29,Escalated,,344.31
DSP00178,TXN0002974,C00062,M0060,Quality Issue,2023-03-30,Escalated,14.0,2903.12
DSP00179,TXN0002984,C00453,M0073,Duplicate,2023-03-30,Escalated,,29386.87
DSP00180,TXN0002992,C00640,M0044,Unauthorized,2023-03-30,Pending,,159442.37
DSP00181,TXN0003011,C00152,M0114,Unauthorized,2023-03-31,Pending,,24333.33
DSP00182,TXN0003053,C00445,M0024,Quality Issue,2023-04-01,Resolved,36.0,1557.65
DSP00183,TXN0003059,C00240,M0063,Quality Issue,2023-04-02,Escalated,20.0,5841.71
DSP00184,TXN0003061,C00673,M0091,Duplicate,2023-04-02,Pending,33.0,505.14
DSP00185,TXN0003077,C00175,M0080,Item Not Received,2023-04-02,Pending,17.0,18923.53
DSP00186,TXN0003130,C00303,M0071,Item Not Received,2023-04-04,Escalated,18.0,7830.51
DSP00187,TXN0003184,C00570,M0061,Unauthorized,2023-04-05,Escalated,18.0,2662.07
DSP00188,TXN0003205,C00599,M0105,Quality Issue,2023-04-06,Resolved,12.0,3746.35
DSP00189,TXN0003220,C00260,M0065,Quality Issue,2023-04-06,Escalated,29.0,24416.38
DSP00190,TXN0003256,C00301,M0074,Item Not Received,2023-04-07,Escalated,,23478.96
DSP00191,TXN0003264,C00454,M0028,Unauthorized,2023-04-08,Resolved,12.0,7208.1
DSP00192,TXN0003284,C00530,M0007,Quality Issue,2023-04-08,Escalated,34.0,965.89
DSP00193,TXN0003343,C00250,M0106,Duplicate,2023-04-10,Resolved,35.0,1914.37
DSP00194,TXN0003353,C00226,M0111,Unauthorized,2023-04-10,Escalated,8.0,2488.76
DSP00195,TXN0003372,C00186,M0065,Item Not Received,2023-04-11,Escalated,24.0,23041.91
DSP00196,TXN0003420,C00097,M0111,Duplicate,2023-04-13,Pending,33.0,793.35
DSP00197,TXN0003466,C00737,M0038,Duplicate,2023-04-15,Escalated,20.0,7991.5
DSP00198,TXN0003473,C00519,M0071,Unauthorized,2023-04-15,Resolved,,85895.65
DSP00199,TXN0003480,C00782,M0060,Duplicate,2023-04-15,Escalated,,1108.22
DSP00200,TXN0003484,C00271,M0001,Quality Issue,2023-04-15,Resolved,,5021.39
DSP00201,TXN0003488,C00570,M0024,Quality Issue,2023-04-15,Pending,36.0,1268.35
DSP00202,TXN0003500,C00069,M0048,Duplicate,2023-04-16,Escalated,35.0,633.64
DSP00203,TXN0003503,C00789,M0096,Unauthorized,2023-04-16,Resolved,,4444.92
DSP00204,TXN0003511,C00657,M0099,Quality Issue,2023-04-16,Resolved,36.0,46664.85
DSP00205,TXN0003539,C00731,M0073,Quality Issue,2023-04-17,Resolved,10.0,19133.56
DSP00206,TXN0003556,C00505,M0040,Item Not Received,2023-04-17,Resolved,,7789.39
DSP00207,TXN0003592,C00622,M0066,Duplicate,2023-04-18,Pending,,169440.58
DSP00208,TXN0003594,C00163,M0001,Quality Issue,2023-04-18,Resolved,43.0,1110.48
DSP00209,TXN0003605,C00339,M0057,Item Not Received,2023-04-19,Resolved,26.0,2303.14
DSP00210,TXN0003623,C00658,M0040,Duplicate,2023-04-19,Resolved,32.0,4376.1
DSP00211,TXN0003625,C00492,M0118,Quality Issue,2023-04-19,Pending,36.0,1320.93
DSP00212,TXN0003650,C00602,M0034,Quality Issue,2023-04-20,Pending,44.0,14580.14
DSP00213,TXN0003666,C00200,M0058,Duplicate,2023-04-21,Resolved,,1352.65
DSP00214,TXN0003722,C00584,M0112,Item Not Received,2023-04-22,Escalated,,2725.87
DSP00215,TXN0003740,C00449,M0058,Duplicate,2023-04-23,Resolved,,1264.25
DSP00216,TXN0003743,C00756,M0075,Quality Issue,2023-04-23,Resolved,12.0,2682.66
DSP00217,TXN0003744,C00357,M0025,Item Not Received,2023-04-23,Escalated,1.0,149438.31
DSP00218,TXN0003757,C00280,M0005,Unauthorized,2023-04-23,Resolved,33.0,10366.8
DSP00219,TXN0003767,C00162,M0110,Item Not Received,2023-04-24,Pending,,1366.15
DSP00220,TXN0003769,C00046,M0097,Unauthorized,2023-04-24,Escalated,20.0,4695.8
DSP00221,TXN0003771,C00210,M0003,Quality Issue,2023-04-24,Pending,,182165.99
DSP00222,TXN0003799,C00057,M0043,Item Not Received,2023-04-25,Escalated,13.0,2468.66
DSP00223,TXN0003828,C00171,M0109,Unauthorized,2023-04-26,Pending,,1026.12
DSP00224,TXN0003852,C00572,M0060,Item Not Received,2023-04-26,Resolved,19.0,2853.05
DSP00225,TXN0003884,C00274,M0088,Unauthorized,2023-04-27,Escalated,2.0,6259.69
DSP00226,TXN0003892,C00601,M0072,Item Not Received,2023-04-27,Resolved,,1657.61
DSP00227,TXN0003903,C00612,M0052,Duplicate,2023-04-28,Escalated,44.0,7327.21
DSP00228,TXN0003905,C00409,M0095,Unauthorized,2023-04-28,Pending,12.0,26519.37
DSP00229,TXN0003920,C00495,M0110,Quality Issue,2023-04-28,Pending,,4326.27
DSP00230,TXN0003930,C00487,M0032,Item Not Received,2023-04-28,Pending,,7375.54
DSP00231,TXN0003964,C00079,M0054,Quality Issue,2023-04-29,Pending,7.0,4366.17
DSP00232,TXN0003973,C00145,M0013,Unauthorized,2023-04-30,Escalated,,4836.7
DSP00233,TXN0003974,C00131,M0106,Item Not Received,2023-04-30,Resolved,,86181.13
DSP00234,TXN0003994,C00075,M0036,Item Not Received,2023-04-30,Escalated,33.0,111512.06
DSP00235,TXN0004013,C00745,M0049,Quality Issue,2023-05-01,Pending,,1630.86
DSP00236,TXN0004028,C00019,M0039,Item Not Received,2023-05-01,Pending,31.0,12277.75
DSP00237,TXN0004040,C00124,M0086,Duplicate,2023-05-01,Escalated,,188651.24
DSP00238,TXN0004067,C00605,M0114,Item Not Received,2023-05-02,Escalated,,23462.91
DSP00239,TXN0004077,C00719,M0021,Unauthorized,2023-05-03,Escalated,25.0,9837.43
DSP00240,TXN0004086,C00165,M0071,Quality Issue,2023-05-03,Escalated,1.0,3653.99
DSP00241,TXN0004131,C00266,M0002,Duplicate,2023-05-04,Escalated,,612.3
DSP00242,TXN0004153,C00639,M0066,Duplicate,2023-05-05,Resolved,31.0,1396.36
DSP00243,TXN0004160,C00692,M0098,Item Not Received,2023-05-05,Escalated,,4139.52
DSP00244,TXN0004163,C00298,M0104,Item Not Received,2023-05-05,Pending,16.0,4422.35
DSP00245,TXN0004187,C00566,M0089,Quality Issue,2023-05-06,Resolved,,8991.01
DSP00246,TXN0004196,C00686,M0120,Duplicate,2023-05-06,Pending,,2422.49
DSP00247,TXN0004236,C00177,M0001,Duplicate,2023-05-08,Pending,10.0,2560.1
DSP00248,TXN0004243,C00628,M0043,Duplicate,2023-05-08,Pending,3.0,49311.79
DSP00249,TXN0004263,C00349,M0033,Unauthorized,2023-05-08,Resolved,38.0,439.36
DSP00250,TXN0004322,C00223,M0052,Quality Issue,2023-05-10,Resolved,,126874.72
DSP00251,TXN0004326,C00718,M0053,Unauthorized,2023-05-10,Pending,,3639.41
DSP00252,TXN0004328,C00542,M0120,Unauthorized,2023-05-10,Pending,11.0,2694.82
DSP00253,TXN0004354,C00063,M0105,Duplicate,2023-05-11,Pending,31.0,1198.74
DSP00254,TXN0004355,C00303,M0029,Duplicate,2023-05-11,Resolved,17.0,2953.93
DSP00255,TXN0004381,C00765,M0075,Unauthorized,2023-05-12,Pending,,1146.11
DSP00256,TXN0004410,C00110,M0069,Item Not Received,2023-05-13,Pending,3.0,14503.25
DSP00257,TXN0004414,C00353,M0082,Unauthorized,2023-05-13,Pending,7.0,463.73
DSP00258,TXN0004416,C00096,M0011,Duplicate,2023-05-13,Escalated,35.0,6097.38
DSP00259,TXN0004419,C00539,M0083,Duplicate,2023-05-13,Pending,14.0,3027.91
DSP00260,TXN0004429,C00597,M0057,Item Not Received,2023-05-14,Resolved,44.0,622.6
DSP00261,TXN0004463,C00591,M0089,Quality Issue,2023-05-15,Escalated,6.0,21346.49
DSP00262,TXN0004472,C00248,M0029,Quality Issue,2023-05-15,Pending,19.0,2894.98
DSP00263,TXN0004474,C00661,M0080,Item Not Received,2023-05-15,Escalated,36.0,14199.26
DSP00264,TXN0004481,C00084,M0027,Duplicate,2023-05-15,Resolved,35.0,4043.76
DSP00265,TXN0004482,C00430,M0092,Duplicate,2023-05-15,Resolved,13.0,6890.06
DSP00266,TXN0004484,C00682,M0081,Quality Issue,2023-05-15,Escalated,7.0,14750.56
DSP00267,TXN0004491,C00765,M0067,Quality Issue,2023-05-16,Pending,,24147.17
DSP00268,TXN0004495,C00538,M0027,Duplicate,2023-05-16,Escalated,15.0,3158.45
DSP00269,TXN0004500,C00584,M0072,Item Not Received,2023-05-16,Resolved,,3337.17
DSP00270,TXN0004514,C00799,M0118,Item Not Received,2023-05-16,Escalated,27.0,1380.53
DSP00271,TXN0004536,C00472,M0054,Item Not Received,2023-05-17,Resolved,43.0,17055.81
DSP00272,TXN0004540,C00585,M0100,Item Not Received,2023-05-17,Escalated,16.0,30799.29
DSP00273,TXN0004546,C00518,M0017,Unauthorized,2023-05-17,Escalated,41.0,533.64
DSP00274,TXN0004552,C00577,M0113,Quality Issue,2023-05-18,Escalated,2.0,7993.54
DSP00275,TXN0004578,C00517,M0055,Quality Issue,2023-05-18,Escalated,44.0,3762.67
DSP00276,TXN0004611,C00009,M0038,Unauthorized,2023-05-19,Escalated,6.0,17468.59
DSP00277,TXN0004623,C00675,M0077,Duplicate,2023-05-20,Resolved,10.0,1673.71
DSP00278,TXN0004628,C00301,M0073,Duplicate,2023-05-20,Pending,,7598.71
DSP00279,TXN0004635,C00721,M0047,Duplicate,2023-05-20,Resolved,16.0,2158.9
DSP00280,TXN0004643,C00354,M0061,Unauthorized,2023-05-20,Escalated,26.0,118.09
DSP00281,TXN0004703,C00031,M0071,Unauthorized,2023-05-22,Resolved,,1822.72
DSP00282,TXN0004714,C00725,M0096,Quality Issue,2023-05-22,Escalated,,1898.69
DSP00283,TXN0004724,C00093,M0072,Quality Issue,2023-05-23,Resolved,43.0,1029.25
DSP00284,TXN0004772,C00706,M0035,Quality Issue,2023-05-24,Resolved,32.0,3011.31
DSP00285,TXN0004780,C00744,M0064,Item Not Received,2023-05-24,Pending,,2220.15
DSP00286,TXN0004796,C00415,M0042,Quality Issue,2023-05-25,Pending,,1979.63
DSP00287,TXN0004799,C00110,M0074,Item Not Received,2023-05-25,Resolved,2.0,30316.39
DSP00288,TXN0004814,C00598,M0039,Duplicate,2023-05-25,Pending,,3575.76
DSP00289,TXN0004832,C00056,M0006,Duplicate,2023-05-26,Escalated,3.0,4100.25
DSP00290,TXN0004860,C00767,M0103,Item Not Received,2023-05-27,Pending,22.0,688.09
DSP00291,TXN0004864,C00253,M0034,Quality Issue,2023-05-27,Resolved,12.0,18044.09
DSP00292,TXN0004878,C00402,M0015,Quality Issue,2023-05-28,Escalated,21.0,1053.96
DSP00293,TXN0004901,C00784,M0038,Duplicate,2023-05-28,Pending,34.0,19130.76
DSP00294,TXN0004914,C00588,M0057,Duplicate,2023-05-29,Pending,,2525.01
