txn_id,txn_date,txn_time,txn_month,merchant_id,merchant_city,customer_id,amount,payment_mode,status,dispute_reason,settlement_date,risk_flag,processing_fee,net_settlement_amount
TXN0000021,2023-01-01,14:27:00,2023-01,M0104,Ahmedabad,C00059,3002.72,Credit Card,Success,,2023-01-02,No,73.92,2949.09
TXN0000022,2023-01-01,14:34:00,2023-01,M0058,Noida,C00190,1449.88,Wallet,Disputed,Item Not Received,,No,30.72,0.0
TXN0000023,2023-01-01,16:00:00,2023-01,M0045,Noida,C00634,2502.31,UPI,Success,,2023-01-08,No,37.9,2450.99
TXN0000024,2023-01-01,16:30:00,2023-01,M0030,Bengaluru,C00484,3554.07,Wallet,Success,,2023-01-02,No,81.14,3474.57
TXN0000025,2023-01-01,19:11:00,2023-01,M0009,Mumbai,C00048,12076.67,Credit Card,Success,,2023-01-03,No,213.01,11778.86
TXN0000026,2023-01-01,19:38:00,2023-01,M0090,Hyderabad,C00559,2413.51,Credit Card,Success,,2023-01-08,No,54.26,2353.21
TXN0000027,2023-01-01,20:02:00,2023-01,M0083,Kolkata,C00080,3781.7,Net Banking,Success,,2023-01-03,No,69.74,3713.0
TXN0000028,2023-01-01,20:04:00,2023-01,M0072,Ahmedabad,C00226,2332.52,Net Banking,Success,,2023-01-03,No,57.44,2283.14
TXN0000029,2023-01-01,20:22:00,2023-01,M0006,Noida,C00499,35471.37,Credit Card,Success,,2023-01-04,No,662.02,34603.21
TXN0000030,2023-01-01,22:34:00,2023-01,M0045,Noida,C00159,4876.29,Debit Card,Failed,,,No,121.64,0.0
TXN0000031,2023-01-01,22:36:00,2023-01,M0063,Hyderabad,C00184,1668.23,UPI,Reversed,,,No,37.65,0.0
TXN0000032,2023-01-01,23:40:00,2023-01,M0119,Chennai,C00605,4442.02,Credit Card,Success,,2023-01-03,No,78.56,4373.38
TXN0000033,2023-01-02,00:04:00,2023-01,M0051,Hyderabad,C00573,5555.36,Debit Card,Success,,2023-01-03,No,129.23,5471.93
TXN0000034,2023-01-02,00:22:00,2023-01,M0031,Hyderabad,C00147,5196.85,UPI,Success,,2023-01-03,No,114.83,5076.13
TXN0000035,2023-01-02,00:37:00,2023-01,M0012,Gurugram,C00125,10676.7,Credit Card,Success,,2023-01-04,No,259.68,10478.06
TXN0000036,2023-01-02,01:51:00,2023-01,M0088,Mumbai,C00017,6292.29,Credit Card,Success,,2023-01-09,No,102.28,6150.37
TXN0000037,2023-01-02,03:02:00,2023-01,M0108,Chennai,C00635,3060.55,UPI,Success,,2023-01-05,No,60.98,2986.2
TXN0000038,2023-01-02,03:30:00,2023-01,M0005,Kolkata,C00798,8857.3,Net Banking,Success,,2023-01-04,No,157.68,8656.56
TXN0000039,2023-01-02,03:35:00,2023-01,M0011,Mumbai,C00206,10952.77,Credit Card,Success,,2023-01-03,No,172.84,10761.73
TXN0000040,2023-01-02,04:11:00,2023-01,M0004,Delhi,C00371,3976.72,Debit Card,Failed,,,No,79.33,0.0
TXN0000041,2023-01-02,04:16:00,2023-01,M0069,Ahmedabad,C00654,4589.13,UPI,Success,,2023-01-05,No,105.7,4489.03
TXN0000042,2023-01-02,04:55:00,2023-01,M0078,Kolkata,C00776,17601.93,Wallet,Success,,2023-01-04,No,371.85,17224.49
TXN0000043,2023-01-02,05:36:00,2023-01,M0052,Gurugram,C00153,4830.58,UPI,Success,,2023-01-04,No,109.11,4716.68
TXN0000044,2023-01-02,06:46:00,2023-01,M0083,Kolkata,C00319,159030.79,Credit Card,Success,,2023-01-04,Yes,3065.59,155980.38
TXN0000045,2023-01-02,07:13:00,2023-01,M0043,Hyderabad,C00688,11745.91,Credit Card,Failed,,,No,212.17,0.0
TXN0000046,2023-01-02,07:42:00,2023-01,M0038,Kolkata,C00195,22248.94,Credit Card,Success,,2023-01-05,No,343.48,21844.67
TXN0000047,2023-01-02,08:36:00,2023-01,M0053,Ahmedabad,C00621,2321.0,Net Banking,Success,,2023-01-04,No,46.4,2276.57
TXN0000048,2023-01-02,09:17:00,2023-01,M0101,Gurugram,C00157,5725.25,Wallet,Success,,2023-01-04,No,110.64,5584.27
TXN0000049,2023-01-02,09:19:00,2023-01,M0013,Gurugram,C00171,3442.19,Wallet,Success,,2023-01-05,No,84.49,3376.92
TXN0000050,2023-01-02,09:54:00,2023-01,M0022,Chennai,C00622,12152.87,Debit Card,Success,,2023-01-09,No,303.51,11941.49
TXN0000051,2023-01-02,10:22:00,2023-01,M0042,Chennai,C00654,4254.36,Net Banking,Success,,2023-01-09,No,96.35,4188.63
TXN0000052,2023-01-02,11:14:00,2023-01,M0029,Gurugram,C00379,1983.34,Credit Card,Success,,2023-01-09,No,31.93,1934.58
TXN0000053,2023-01-02,11:16:00,2023-01,M0051,Hyderabad,C00034,85464.4,UPI,Success,,2023-01-03,Yes,1365.66,84174.39
TXN0000054,2023-01-02,12:25:00,2023-01,M0005,Kolkata,C00090,13621.04,Wallet,Success,,2023-01-04,No,310.3,13289.98
TXN0000055,2023-01-02,12:29:00,2023-01,M0050,Ahmedabad,C00734,7755.86,UPI,Success,,2023-01-03,No,145.84,7619.72
TXN0000056,2023-01-02,12:34:00,2023-01,M0120,Pune,C00690,2090.95,Wallet,Success,,2023-01-05,No,46.59,2049.79
TXN0000057,2023-01-02,12:44:00,2023-01,M0037,Chennai,C00684,1093.7,Credit Card,Success,,2023-01-04,No,20.55,1076.18
TXN0000058,2023-01-02,13:03:00,2023-01,M0003,Gurugram,C00313,987.84,Debit Card,Success,,2023-01-05,No,16.9,969.16
TXN0000059,2023-01-02,13:29:00,2023-01,M0008,Chennai,C00582,36009.3,Credit Card,Failed,,,No,569.21,0.0
TXN0000060,2023-01-02,13:53:00,2023-01,M0036,Noida,C00404,2678.67,Net Banking,Success,,2023-01-04,No,40.97,2627.25
TXN0000061,2023-01-02,14:39:00,2023-01,M0057,Gurugram,C00137,1938.52,Debit Card,Success,,2023-01-04,No,39.85,1899.73
TXN0000062,2023-01-02,15:08:00,2023-01,M0038,Kolkata,C00571,3883.35,Debit Card,Success,,2023-01-05,No,82.99,3812.92
TXN0000063,2023-01-02,16:45:00,2023-01,M0067,Mumbai,C00267,15429.91,Debit Card,Success,,2023-01-04,No,323.37,15179.19
TXN0000064,2023-01-02,17:53:00,2023-01,M0052,Gurugram,C00027,7723.4,Net Banking,Success,,2023-01-04,No,185.32,7555.23
TXN0000065,2023-01-02,18:03:00,2023-01,M0060,Delhi,C00472,1564.79,Wallet,Success,,2023-01-04,No,31.98,1529.15
TXN0000066,2023-01-02,18:17:00,2023-01,M0077,Ahmedabad,C00443,915.9,Debit Card,Success,,2023-01-04,No,20.06,899.32
TXN0000067,2023-01-02,19:54:00,2023-01,M0039,Gurugram,C00694,8175.13,Credit Card,Success,,2023-01-03,No,172.4,8020.0
TXN0000068,2023-01-02,20:52:00,2023-01,M0113,Hyderabad,C00662,10312.77,Net Banking,Failed,,,No,201.49,0.0
TXN0000069,2023-01-02,21:16:00,2023-01,M0072,Ahmedabad,C00684,4121.0,Net Banking,Success,,2023-01-04,No,91.91,4019.43
TXN0000070,2023-01-02,21:27:00,2023-01,M0049,Ahmedabad,C00606,1837.18,Debit Card,Disputed,Quality Issue,,No,37.98,0.0
TXN0000071,2023-01-02,23:15:00,2023-01,M0100,Noida,C00337,10400.72,Net Banking,Success,,2023-01-03,No,172.03,10242.32
TXN0000072,2023-01-03,00:03:00,2023-01,M0082,Delhi,C00203,689.53,Credit Card,Success,,2023-01-04,No,11.84,673.32
TXN0000073,2023-01-03,00:33:00,2023-01,M0082,Delhi,C00618,1151.45,Credit Card,Disputed,Duplicate,,No,21.99,0.0
TXN0000074,2023-01-03,00:40:00,2023-01,M0075,Hyderabad,C00056,1740.16,Debit Card,Success,,2023-01-10,No,31.32,1710.83
TXN0000075,2023-01-03,01:17:00,2023-01,M0105,Bengaluru,C00559,2743.09,Net Banking,Success,,2023-01-05,No,46.37,2693.29
TXN0000076,2023-01-03,01:48:00,2023-01,M0067,Mumbai,C00480,19085.29,Credit Card,Disputed,Item Not Received,,No,422.55,0.0
TXN0000077,2023-01-03,02:28:00,2023-01,M0076,Kolkata,C00552,4490.1,UPI,Failed,,,No,101.85,0.0
TXN0000078,2023-01-03,03:04:00,2023-01,M0035,Noida,C00218,5846.75,Net Banking,Success,,2023-01-04,No,87.75,5719.79
TXN0000079,2023-01-03,03:17:00,2023-01,M0066,Mumbai,C00676,671.79,Debit Card,Success,,2023-01-04,No,11.83,661.23
TXN0000080,2023-01-03,05:09:00,2023-01,M0033,Kolkata,C00673,879.15,Net Banking,Success,,2023-01-10,No,15.41,863.6
TXN0000081,2023-01-03,05:59:00,2023-01,M0067,Mumbai,C00302,8447.66,Debit Card,Success,,2023-01-05,No,149.96,8241.85
TXN0000082,2023-01-03,08:40:00,2023-01,M0009,Mumbai,C00770,2981.5,Net Banking,Disputed,Duplicate,,No,69.32,0.0
TXN0000083,2023-01-03,09:21:00,2023-01,M0060,Delhi,C00511,2514.55,Debit Card,Success,,2023-01-05,No,58.49,2472.43
TXN0000084,2023-01-03,10:21:00,2023-01,M0002,Noida,C00413,1230.82,Credit Card,Success,,2023-01-06,No,20.8,1206.15
TXN0000085,2023-01-03,10:24:00,2023-01,M0115,Ahmedabad,C00469,9714.35,UPI,Success,,2023-01-10,No,167.84,9561.43
TXN0000086,2023-01-03,10:58:00,2023-01,M0084,Hyderabad,C00704,56971.84,UPI,Success,,2023-01-06,Yes,1106.5,55857.36
TXN0000087,2023-01-03,11:49:00,2023-01,M0032,Kolkata,C00639,14795.59,UPI,Success,,2023-01-10,No,343.26,14531.24
TXN0000088,2023-01-03,12:07:00,2023-01,M0052,Gurugram,C00025,6533.69,Wallet,Success,,2023-01-05,No,136.16,6415.79
TXN0000089,2023-01-03,12:14:00,2023-01,M0104,Ahmedabad,C00052,1278.76,Wallet,Success,,2023-01-04,No,29.45,1251.88
TXN0000090,2023-01-03,12:40:00,2023-01,M0014,Hyderabad,C00449,1997.9,Net Banking,Success,,2023-01-04,No,44.27,1959.88
TXN0000091,2023-01-03,13:23:00,2023-01,M0004,Delhi,C00518,4818.22,UPI,Success,,2023-01-04,No,116.76,4725.48
TXN0000092,2023-01-03,14:21:00,2023-01,M0007,Hyderabad,C00160,2999.26,Net Banking,Success,,2023-01-05,No,48.67,2927.05
TXN0000093,2023-01-03,15:16:00,2023-01,M0118,Hyderabad,C00319,1839.02,Debit Card,Success,,2023-01-04,No,39.71,1800.92
TXN0000094,2023-01-03,15:59:00,2023-01,M0115,Ahmedabad,C00311,13723.14,Wallet,Success,,2023-01-10,No,263.18,13383.45
TXN0000095,2023-01-03,16:57:00,2023-01,M0059,Pune,C00409,6120.39,Wallet,Success,,2023-01-04,No,111.23,6016.37
TXN0000096,2023-01-03,17:28:00,2023-01,M0103,Gurugram,C00442,1488.08,Credit Card,Success,,2023-01-06,No,34.17,1456.16
TXN0000097,2023-01-03,18:19:00,2023-01,M0060,Delhi,C00402,2891.35,Net Banking,Success,,2023-01-05,No,60.15,2844.95
TXN0000098,2023-01-03,18:26:00,2023-01,M0001,Kolkata,C00387,3617.64,UPI,Success,,2023-01-10,No,76.99,3555.85
TXN0000099,2023-01-03,19:56:00,2023-01,M0097,Noida,C00623,2349.66,Credit Card,Success,,2023-01-06,No,57.79,2312.92
TXN0000100,2023-01-03,21:23:00,2023-01,M0010,Kolkata,C00317,1563.5,Credit Card,Success,,2023-01-06,No,24.33,1528.96
TXN0000101,2023-01-04,01:02:00,2023-01,M0057,Gurugram,C00705,3027.68,Net Banking,Disputed,Duplicate,,No,58.5,0.0
TXN0000102,2023-01-04,02:11:00,2023-01,M0063,Hyderabad,C00576,219.92,Wallet,Success,,2023-01-11,No,4.45,215.13
TXN0000103,2023-01-04,02:55:00,2023-01,M0098,Pune,C00228,12560.32,Net Banking,Success,,2023-01-07,No,230.13,12300.67
TXN0000104,2023-01-04,03:23:00,2023-01,M0111,Gurugram,C00442,4161.84,Credit Card,Reversed,,,No,76.84,0.0
TXN0000105,2023-01-04,03:26:00,2023-01,M0029,Gurugram,C00701,87030.88,Net Banking,Success,,2023-01-11,Yes,1832.4,85180.72
TXN0000106,2023-01-04,03:43:00,2023-01,M0084,Hyderabad,C00005,23944.4,UPI,Success,,2023-01-07,No,463.61,23490.6
TXN0000107,2023-01-04,04:23:00,2023-01,M0062,Chennai,C00697,7948.5,UPI,Success,,2023-01-11,No,165.29,7816.44
TXN0000108,2023-01-04,04:28:00,2023-01,M0041,Chennai,C00579,25051.49,Debit Card,Success,,2023-01-05,No,440.92,24532.48
TXN0000109,2023-01-04,05:16:00,2023-01,M0074,Noida,C00649,5411.33,UPI,Success,,2023-01-06,No,106.51,5297.97
TXN0000110,2023-01-04,05:23:00,2023-01,M0117,Chennai,C00317,554.62,Debit Card,Failed,,,No,8.94,0.0
TXN0000111,2023-01-04,05:59:00,2023-01,M0040,Mumbai,C00216,9280.9,Wallet,Success,,2023-01-06,No,183.07,9063.17
TXN0000112,2023-01-04,07:44:00,2023-01,M0077,Ahmedabad,C00531,1670.67,Credit Card,Success,,2023-01-06,No,35.9,1642.17
TXN0000113,2023-01-04,07:53:00,2023-01,M0026,Pune,C00419,4720.17,Net Banking,Success,,2023-01-06,No,104.15,4630.95
TXN0000114,2023-01-04,07:56:00,2023-01,M0104,Ahmedabad,C00518,2806.28,Credit Card,Success,,2023-01-05,No,63.91,2763.61
TXN0000115,2023-01-04,09:49:00,2023-01,M0026,Pune,C00163,2188.95,Debit Card,Success,,2023-01-06,No,50.7,2149.98
TXN0000116,2023-01-04,09:57:00,2023-01,M0105,Bengaluru,C00699,4989.62,Net Banking,Success,,2023-01-06,No,118.99,4895.16
TXN0000117,2023-01-04,10:15:00,2023-01,M0120,Pune,C00762,1040.56,UPI,Failed,,,No,19.34,0.0
TXN0000118,2023-01-04,10:55:00,2023-01,M0005,Kolkata,C00365,8002.94,Debit Card,Success,,2023-01-06,No,146.86,7871.83
TXN0000119,2023-01-04,11:00:00,2023-01,M0057,Gurugram,C00747,3928.15,UPI,Success,,2023-01-06,No,63.6,3864.53
TXN0000120,2023-01-04,11:31:00,2023-01,M0068,Hyderabad,C00017,993.05,Net Banking,Success,,2023-01-07,No,19.4,972.54
TXN0000121,2023-01-04,11:43:00,2023-01,M0014,Hyderabad,C00543,4214.86,Net Banking,Success,,2023-01-05,No,77.08,4133.51
TXN0000122,2023-01-04,11:50:00,2023-01,M0015,Pune,C00335,1441.3,UPI,Success,,2023-01-05,No,25.29,1409.19
TXN0000123,2023-01-04,14:16:00,2023-01,M0120,Pune,C00344,4912.91,Wallet,Success,,2023-01-07,No,108.69,4814.44
TXN0000124,2023-01-04,15:26:00,2023-01,M0114,Chennai,C00594,21732.33,Credit Card,Failed,,,No,424.8,0.0
TXN0000125,2023-01-04,15:39:00,2023-01,M0010,Kolkata,C00186,1718.73,Credit Card,Reversed,,,No,25.91,0.0
TXN0000126,2023-01-04,17:27:00,2023-01,M0057,Gurugram,C00343,3782.2,Wallet,Success,,2023-01-06,No,75.39,3710.36
TXN0000127,2023-01-04,19:03:00,2023-01,M0014,Hyderabad,C00649,1431.4,Wallet,Success,,2023-01-05,No,29.47,1409.55
TXN0000128,2023-01-04,20:06:00,2023-01,M0074,Noida,C00438,39744.44,Debit Card,Failed,,,No,669.17,0.0
TXN0000129,2023-01-04,20:57:00,2023-01,M0091,Delhi,C00170,1405.07,Debit Card,Success,,2023-01-07,No,30.36,1376.3
TXN0000130,2023-01-04,21:37:00,2023-01,M0098,Pune,C00585,3753.19,Net Banking,Disputed,Item Not Received,,No,61.74,0.0
TXN0000131,2023-01-05,01:29:00,2023-01,M0055,Delhi,C00489,9450.48,Debit Card,Success,,2023-01-06,No,152.43,9240.59
TXN0000132,2023-01-05,01:36:00,2023-01,M0107,Ahmedabad,C00189,774.5,UPI,Success,,2023-01-12,No,15.15,756.43
TXN0000133,2023-01-05,02:24:00,2023-01,M0007,Hyderabad,C00387,3543.11,Debit Card,Success,,2023-01-07,No,57.74,3477.51
TXN0000134,2023-01-05,02:33:00,2023-01,M0005,Kolkata,C00390,11976.82,Debit Card,Success,,2023-01-07,No,241.68,11782.67
TXN0000135,2023-01-05,03:40:00,2023-01,M0036,Noida,C00580,1805.35,Wallet,Success,,2023-01-07,No,39.03,1765.51
TXN0000136,2023-01-05,04:22:00,2023-01,M0079,Hyderabad,C00769,180343.82,Wallet,Success,,2023-01-08,Yes,3733.67,175963.14
TXN0000137,2023-01-05,05:04:00,2023-01,M0004,Delhi,C00150,4558.01,Credit Card,Failed,,,No,95.15,0.0
TXN0000138,2023-01-05,05:26:00,2023-01,M0022,Chennai,C00216,2116.0,Wallet,Success,,2023-01-12,No,46.29,2079.44
TXN0000139,2023-01-05,05:35:00,2023-01,M0119,Chennai,C00797,4732.12,Net Banking,Success,,2023-01-07,No,79.22,4636.52
TXN0000140,2023-01-05,06:12:00,2023-01,M0012,Gurugram,C00147,5790.16,Debit Card,Failed,,,No,87.76,0.0
TXN0000141,2023-01-05,07:20:00,2023-01,M0035,Noida,C00336,5657.29,Net Banking,Success,,2023-01-06,No,135.26,5544.18
TXN0000142,2023-01-05,07:36:00,2023-01,M0037,Chennai,C00459,1026.1,Net Banking,Success,,2023-01-07,No,22.02,1008.93
TXN0000143,2023-01-05,08:30:00,2023-01,M0038,Kolkata,C00753,7881.38,Net Banking,Success,,2023-01-08,No,121.67,7724.12
TXN0000144,2023-01-05,09:07:00,2023-01,M0012,Gurugram,C00163,5856.99,UPI,Disputed,Item Not Received,,No,138.87,0.0
TXN0000145,2023-01-05,09:41:00,2023-01,M0104,Ahmedabad,C00500,3355.71,Wallet,Success,,2023-01-06,No,75.79,3272.55
TXN0000146,2023-01-05,09:52:00,2023-01,M0046,Noida,C00251,8462.09,Debit Card,Success,,2023-01-12,No,170.28,8251.32
TXN0000147,2023-01-05,10:12:00,2023-01,M0043,Hyderabad,C00648,48654.63,Wallet,Success,,2023-01-07,No,1116.14,47494.1
TXN0000148,2023-01-05,10:15:00,2023-01,M0109,Hyderabad,C00312,1418.15,Net Banking,Reversed,,,No,34.69,0.0
TXN0000149,2023-01-05,10:54:00,2023-01,M0076,Kolkata,C00736,3498.38,UPI,Disputed,Quality Issue,,No,68.0,0.0
TXN0000150,2023-01-05,11:02:00,2023-01,M0055,Delhi,C00423,10143.68,Wallet,Success,,2023-01-06,No,210.2,9907.09
TXN0000151,2023-01-05,11:46:00,2023-01,M0058,Noida,C00554,1545.78,UPI,Success,,2023-01-07,No,25.94,1521.55
TXN0000152,2023-01-05,11:48:00,2023-01,M0036,Noida,C00735,2374.23,Wallet,Success,,2023-01-07,No,58.6,2315.76
TXN0000153,2023-01-05,12:59:00,2023-01,M0030,Bengaluru,C00621,6096.13,Debit Card,Success,,2023-01-06,No,110.6,5944.1
TXN0000154,2023-01-05,13:04:00,2023-01,M0030,Bengaluru,C00729,13110.29,Wallet,Success,,2023-01-06,No,273.69,12873.21
TXN0000155,2023-01-05,13:30:00,2023-01,M0030,Bengaluru,C00170,5259.54,Credit Card,Failed,,,No,105.91,0.0
TXN0000156,2023-01-05,14:07:00,2023-01,M0086,Gurugram,C00485,731.91,Debit Card,Success,,2023-01-12,No,15.57,714.44
TXN0000157,2023-01-05,15:38:00,2023-01,M0085,Bengaluru,C00057,1445.81,Net Banking,Disputed,Item Not Received,,No,31.38,0.0
TXN0000158,2023-01-05,15:51:00,2023-01,M0067,Mumbai,C00746,18068.33,Wallet,Reversed,,,No,386.74,0.0
TXN0000159,2023-01-05,15:59:00,2023-01,M0039,Gurugram,C00699,11517.79,Net Banking,Success,,2023-01-06,No,231.69,11267.01
TXN0000160,2023-01-05,16:29:00,2023-01,M0085,Bengaluru,C00277,75163.11,Credit Card,Failed,,,Yes,1730.0,0.0
TXN0000161,2023-01-05,16:33:00,2023-01,M0073,Kolkata,C00479,6674.09,UPI,Failed,,,No,134.96,0.0
TXN0000162,2023-01-05,16:37:00,2023-01,M0094,Ahmedabad,C00182,29039.97,Debit Card,Success,,2023-01-06,No,528.6,28355.46
TXN0000163,2023-01-05,17:18:00,2023-01,M0053,Ahmedabad,C00198,529.83,Wallet,Success,,2023-01-07,No,10.83,519.32
TXN0000164,2023-01-05,17:50:00,2023-01,M0090,Hyderabad,C00800,183.18,UPI,Success,,2023-01-12,No,3.94,180.08
TXN0000165,2023-01-05,19:02:00,2023-01,M0119,Chennai,C00689,2442.16,Net Banking,Success,,2023-01-07,No,53.98,2395.17
TXN0000166,2023-01-05,19:22:00,2023-01,M0044,Kolkata,C00697,5879.06,Credit Card,Success,,2023-01-12,No,120.33,5769.77
TXN0000167,2023-01-05,19:32:00,2023-01,M0048,Ahmedabad,C00247,437.67,Wallet,Success,,2023-01-12,No,8.83,430.76
TXN0000168,2023-01-05,19:34:00,2023-01,M0021,Delhi,C00260,13215.47,Credit Card,Success,,2023-01-08,No,275.82,12902.03
TXN0000169,2023-01-05,19:51:00,2023-01,M0030,Bengaluru,C00654,12120.04,UPI,Success,,2023-01-06,No,228.27,11846.98
TXN0000170,2023-01-05,20:23:00,2023-01,M0073,Kolkata,C00258,43213.11,Credit Card,Success,,2023-01-08,No,1035.11,42547.07
TXN0000171,2023-01-05,20:29:00,2023-01,M0014,Hyderabad,C00441,3469.96,Credit Card,Success,,2023-01-06,No,57.25,3412.94
TXN0000172,2023-01-05,21:11:00,2023-01,M0062,Chennai,C00427,5245.13,Debit Card,Success,,2023-01-12,No,101.7,5132.81
TXN0000173,2023-01-05,21:32:00,2023-01,M0100,Noida,C00408,4885.04,Credit Card,Success,,2023-01-06,No,98.49,4802.51
TXN0000174,2023-01-05,22:09:00,2023-01,M0088,Mumbai,C00108,5863.46,UPI,Success,,2023-01-12,No,143.42,5752.85
TXN0000175,2023-01-06,00:00:00,2023-01,M0004,Delhi,C00048,593.81,UPI,Success,,2023-01-07,No,13.72,584.7
TXN0000176,2023-01-06,00:33:00,2023-01,M0105,Bengaluru,C00362,10485.83,Credit Card,Success,,2023-01-08,No,227.05,10243.73
TXN0000177,2023-01-06,00:49:00,2023-01,M0028,Chennai,C00103,54438.43,Wallet,Success,,2023-01-09,Yes,1311.67,53560.71
TXN0000178,2023-01-06,01:18:00,2023-01,M0094,Ahmedabad,C00306,34987.34,Credit Card,Success,,2023-01-07,No,771.38,34312.81
TXN0000179,2023-01-06,01:19:00,2023-01,M0030,Bengaluru,C00614,133841.23,Credit Card,Success,,2023-01-07,Yes,2423.83,130798.87
TXN0000180,2023-01-06,01:46:00,2023-01,M0047,Pune,C00747,3811.58,Debit Card,Disputed,Item Not Received,,No,66.67,0.0
TXN0000181,2023-01-06,02:31:00,2023-01,M0032,Kolkata,C00762,8971.11,Net Banking,Success,,2023-01-13,No,165.75,8749.54
TXN0000182,2023-01-06,03:09:00,2023-01,M0117,Chennai,C00396,1579.77,Net Banking,Success,,2023-01-09,No,35.63,1552.58
TXN0000183,2023-01-06,05:22:00,2023-01,M0001,Kolkata,C00090,2488.14,Wallet,Success,,2023-01-13,No,38.7,2444.36
TXN0000184,2023-01-06,06:28:00,2023-01,M0113,Hyderabad,C00560,3683.1,UPI,Failed,,,No,86.36,0.0
TXN0000185,2023-01-06,06:54:00,2023-01,M0120,Pune,C00050,180861.71,Net Banking,Disputed,Unauthorized,,Yes,3371.2,0.0
TXN0000186,2023-01-06,07:01:00,2023-01,M0097,Noida,C00388,4454.71,UPI,Success,,2023-01-09,No,88.1,4383.95
TXN0000187,2023-01-06,07:54:00,2023-01,M0008,Chennai,C00526,19966.25,UPI,Success,,2023-01-09,No,314.73,19491.61
TXN0000188,2023-01-06,09:16:00,2023-01,M0040,Mumbai,C00406,9411.08,Wallet,Success,,2023-01-08,No,160.55,9193.04
TXN0000189,2023-01-06,11:14:00,2023-01,M0080,Bengaluru,C00173,11562.97,UPI,Failed,,,No,248.17,0.0
TXN0000190,2023-01-06,12:26:00,2023-01,M0089,Gurugram,C00515,11725.18,Wallet,Success,,2023-01-09,No,286.77,11473.55
TXN0000191,2023-01-06,12:53:00,2023-01,M0103,Gurugram,C00563,1716.87,Net Banking,Success,,2023-01-09,No,36.77,1683.11
TXN0000192,2023-01-06,13:52:00,2023-01,M0075,Hyderabad,C00396,1149.62,Debit Card,Failed,,,No,27.79,0.0
TXN0000193,2023-01-06,14:24:00,2023-01,M0075,Hyderabad,C00776,1240.28,Net Banking,Reversed,,,No,20.65,0.0
TXN0000194,2023-01-06,14:54:00,2023-01,M0024,Chennai,C00757,148.44,Net Banking,Success,,2023-01-13,No,3.01,145.1
TXN0000195,2023-01-06,15:29:00,2023-01,M0050,Ahmedabad,C00765,8481.94,Net Banking,Success,,2023-01-07,No,133.51,8304.98
